tau,CFC11,CFC12,CFC113,SF6,He4_ter,H3_tu
25255,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25254,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25253,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25252,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25251,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25250,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25249,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25248,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25247,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25246,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25245,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25244,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25243,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25242,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25241,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25240,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25239,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25238,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25237,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25236,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25235,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25234,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25233,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25232,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25231,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25230,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25229,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25228,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25227,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25226,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25225,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25224,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25223,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25222,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25221,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25220,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25219,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25218,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25217,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
25216,1e-10,1e-10,1e-10,1e-10,0.0,3.327329892219456
