# HeaderRows_6,,
# HeaderRows_Format: Column_Header; Unit; InstallationMethod_ID; Instrument_Summary,,
# DateTime; YYYY-MM-DD hh:mm:ss UTC-06:00; PLM6_200cm; In-Situ Aqua TROLL 200 Data Logger,,
# Waterlevel_1d; meters; PLM6_200cm; In-Situ Aqua TROLL 200 Data Logger,,
# Waterlevel_1d_trend; meters; PLM6_200cm; In-Situ Aqua TROLL 200 Data Logger,,
Date_time,Waterlevel_1d,Waterlevel_1d_trend
2016-11-30 17:00:00,2757.575,2757.567
2016-12-01 17:00:00,2757.573,2757.568
2016-12-02 17:00:00,2757.567,2757.568
2016-12-03 17:00:00,2757.554,2757.567
2016-12-04 17:00:00,2757.548,2757.567
2016-12-05 17:00:00,2757.577,2757.565
2016-12-06 17:00:00,2757.583,2757.564
2016-12-07 17:00:00,2757.571,2757.56
2016-12-08 17:00:00,2757.519,2757.557
2016-12-09 17:00:00,2757.517,2757.552
2016-12-10 17:00:00,2757.533,2757.546
2016-12-11 17:00:00,2757.56,2757.544
2016-12-12 17:00:00,2757.551,2757.542
2016-12-13 17:00:00,2757.542,2757.542
2016-12-14 17:00:00,2757.533,2757.541
2016-12-15 17:00:00,2757.534,2757.534
2016-12-16 17:00:00,2757.585,2757.526
2016-12-17 17:00:00,2757.619,2757.519
2016-12-18 17:00:00,2757.531,2757.512
2016-12-19 17:00:00,2757.491,2757.511
2016-12-20 17:00:00,2757.487,2757.511
2016-12-21 17:00:00,2757.508,2757.514
2016-12-22 17:00:00,2757.523,2757.518
2016-12-23 17:00:00,2757.558,2757.523
2016-12-24 17:00:00,2757.554,2757.528
2016-12-25 17:00:00,2757.599,2757.527
2016-12-26 17:00:00,2757.528,2757.526
2016-12-27 17:00:00,2757.492,2757.525
2016-12-28 17:00:00,2757.516,2757.525
2016-12-29 17:00:00,2757.487,2757.535
2016-12-30 17:00:00,2757.506,2757.544
2016-12-31 17:00:00,2757.56,2757.55
2017-01-01 17:00:00,2757.568,2757.556
2017-01-02 17:00:00,2757.568,2757.557
2017-01-03 17:00:00,2757.54,2757.559
2017-01-04 17:00:00,2757.546,2757.559
2017-01-05 17:00:00,2757.594,2757.559
2017-01-06 17:00:00,2757.566,2757.562
2017-01-07 17:00:00,2757.497,2757.566
2017-01-08 17:00:00,2757.497,2757.568
2017-01-09 17:00:00,2757.531,2757.57
2017-01-10 17:00:00,2757.576,2757.568
2017-01-11 17:00:00,2757.583,2757.565
2017-01-12 17:00:00,2757.562,2757.562
2017-01-13 17:00:00,2757.527,2757.559
2017-01-14 17:00:00,2757.508,2757.555
2017-01-15 17:00:00,2757.547,2757.55
2017-01-16 17:00:00,2757.566,2757.551
2017-01-17 17:00:00,2757.542,2757.552
2017-01-18 17:00:00,2757.541,2757.553
2017-01-19 17:00:00,2757.573,2757.554
2017-01-20 17:00:00,2757.613,2757.558
2017-01-21 17:00:00,2757.626,2757.562
2017-01-22 17:00:00,2757.557,2757.562
2017-01-23 17:00:00,2757.574,2757.563
2017-01-24 17:00:00,2757.612,2757.556
2017-01-25 17:00:00,2757.575,2757.55
2017-01-26 17:00:00,2757.547,2757.542
2017-01-27 17:00:00,2757.527,2757.534
2017-01-28 17:00:00,2757.508,2757.534
2017-01-29 17:00:00,2757.506,2757.534
2017-01-30 17:00:00,2757.525,2757.539
2017-01-31 17:00:00,2757.555,2757.545
2017-02-01 17:00:00,2757.564,2757.551
2017-02-02 17:00:00,2757.558,2757.558
2017-02-03 17:00:00,2757.554,2757.562
2017-02-04 17:00:00,2757.57,2757.567
2017-02-05 17:00:00,2757.562,2757.569
2017-02-06 17:00:00,2757.586,2757.572
2017-02-07 17:00:00,2757.593,2757.57
2017-02-08 17:00:00,2757.578,2757.569
2017-02-09 17:00:00,2757.536,2757.565
2017-02-10 17:00:00,2757.547,2757.562
2017-02-11 17:00:00,2757.566,2757.561
2017-02-12 17:00:00,2757.55,2757.56
2017-02-13 17:00:00,2757.564,2757.564
2017-02-14 17:00:00,2757.572,2757.568
2017-02-15 17:00:00,2757.559,2757.575
2017-02-16 17:00:00,2757.576,2757.582
2017-02-17 17:00:00,2757.605,2757.587
2017-02-18 17:00:00,2757.604,2757.592
2017-02-19 17:00:00,2757.616,2757.594
2017-02-20 17:00:00,2757.574,2757.597
2017-02-21 17:00:00,2757.543,2757.598
2017-02-22 17:00:00,2757.584,2757.598
2017-02-23 17:00:00,2757.642,2757.601
2017-02-24 17:00:00,2757.619,2757.604
2017-02-25 17:00:00,2757.593,2757.607
2017-02-26 17:00:00,2757.608,2757.61
2017-02-27 17:00:00,2757.611,2757.61
2017-02-28 17:00:00,2757.623,2757.61
2017-03-01 17:00:00,2757.494,2757.601
2017-03-02 17:00:00,2757.396,2757.592
2017-03-03 17:00:00,2757.529,2757.582
2017-03-04 17:00:00,2757.56,2757.571
2017-03-05 17:00:00,2757.587,2757.565
2017-03-06 17:00:00,2757.631,2757.558
2017-03-07 17:00:00,2757.565,2757.553
2017-03-08 17:00:00,2757.538,2757.549
2017-03-09 17:00:00,2757.539,2757.548
2017-03-10 17:00:00,2757.529,2757.547
2017-03-11 17:00:00,2757.552,2757.548
2017-03-12 17:00:00,2757.558,2757.549
2017-03-13 17:00:00,2757.556,2757.552
2017-03-14 17:00:00,2757.549,2757.555
2017-03-15 17:00:00,2757.542,2757.559
2017-03-16 17:00:00,2757.566,2757.563
2017-03-17 17:00:00,2757.57,2757.576
2017-03-18 17:00:00,2757.57,2757.588
2017-03-19 17:00:00,2757.595,2757.609
2017-03-20 17:00:00,2757.619,2757.629
2017-03-21 17:00:00,2757.656,2757.659
2017-03-22 17:00:00,2757.7,2757.69
2017-03-23 17:00:00,2757.767,2757.729
2017-03-24 17:00:00,2757.782,2757.768
2017-03-25 17:00:00,2757.778,2757.803
2017-03-26 17:00:00,2757.837,2757.838
2017-03-27 17:00:00,2757.851,2757.86
2017-03-28 17:00:00,2757.901,2757.882
2017-03-29 17:00:00,2757.917,2757.916
2017-03-30 17:00:00,2757.975,2757.95
2017-03-31 17:00:00,2758.063,2757.998
2017-04-01 17:00:00,2758.073,2758.046
2017-04-02 17:00:00,2758.1,2758.093
2017-04-03 17:00:00,2758.164,2758.141
2017-04-04 17:00:00,2758.221,2758.164
2017-04-05 17:00:00,2758.193,2758.187
2017-04-06 17:00:00,2758.201,2758.241
2017-04-07 17:00:00,2758.232,2758.295
2017-04-08 17:00:00,2758.296,2758.337
2017-04-09 17:00:00,2758.381,2758.379
2017-04-10 17:00:00,2758.392,2758.412
2017-04-11 17:00:00,2758.411,2758.444
2017-04-12 17:00:00,2758.454,2758.485
2017-04-13 17:00:00,2758.517,2758.527
2017-04-14 17:00:00,2758.605,2758.571
2017-04-15 17:00:00,2758.692,2758.616
2017-04-16 17:00:00,2758.755,2758.742
2017-04-17 17:00:00,2758.824,2758.868
2017-04-18 17:00:00,2758.911,2758.974
2017-04-19 17:00:00,2759.048,2759.08
2017-04-20 17:00:00,2759.151,2759.127
2017-04-21 17:00:00,2759.213,2759.174
2017-04-22 17:00:00,2759.214,2759.195
2017-04-23 17:00:00,2759.23,2759.216
2017-04-24 17:00:00,2759.287,2759.241
2017-04-25 17:00:00,2759.33,2759.266
2017-04-26 17:00:00,2759.314,2759.274
2017-04-27 17:00:00,2759.318,2759.282
2017-04-28 17:00:00,2759.303,2759.277
2017-04-29 17:00:00,2759.273,2759.271
2017-04-30 17:00:00,2759.252,2759.266
2017-05-01 17:00:00,2759.24,2759.261
2017-05-02 17:00:00,2759.241,2759.264
2017-05-03 17:00:00,2759.251,2759.266
2017-05-04 17:00:00,2759.28,2759.34
2017-05-05 17:00:00,2759.344,2759.414
2017-05-06 17:00:00,2759.382,2759.428
2017-05-07 17:00:00,2759.423,2759.442
2017-05-08 17:00:00,2759.445,2759.447
2017-05-09 17:00:00,2759.45,2759.452
2017-05-10 17:00:00,2759.47,2759.459
2017-05-11 17:00:00,2759.462,2759.466
2017-05-12 17:00:00,2759.469,2759.469
2017-05-13 17:00:00,2759.492,2759.472
2017-05-14 17:00:00,2759.487,2759.467
2017-05-15 17:00:00,2759.472,2759.462
2017-05-16 17:00:00,2759.46,2759.446
2017-05-17 17:00:00,2759.443,2759.43
2017-05-18 17:00:00,2759.416,2759.408
2017-05-19 17:00:00,2759.379,2759.387
2017-05-20 17:00:00,2759.358,2759.368
2017-05-21 17:00:00,2759.339,2759.349
2017-05-22 17:00:00,2759.329,2759.335
2017-05-23 17:00:00,2759.316,2759.321
