Timestep,PLM1,PLM7,PLM6
0.0,2785.8798728392712,2779.9559700361146,2761.938358535165
1.0,2785.8795843709695,2779.9553849079434,2761.9348379803355
2.0,2785.8782582979434,2779.9536434164866,2761.932108597324
3.0,2785.8769481942527,2779.952001392195,2761.9307045096243
4.0,2785.8759993149283,2779.950789081037,2761.927825942753
5.0,2785.8762378419938,2779.950449986723,2761.924490087052
6.0,2785.8760831102995,2779.9497866649444,2761.922304012667
7.0,2785.868651129491,2779.9424250980082,2761.9164281247945
8.0,2785.8527084816,2779.9274858865474,2761.905792773283
9.0,2785.8291404540637,2779.906261978017,2761.891663578191
10.0,2785.799065846204,2779.8800324287936,2761.8753158467453
11.0,2785.7617179356907,2779.848397601102,2761.8574853672467
12.0,2785.7187406523585,2779.8120351291873,2761.8384899067023
13.0,2785.67315497955,2779.772974632809,2761.8187235588844
14.0,2785.6252474864,2779.731689745306,2761.7981019582444
15.0,2785.57408865078,2779.6874509605905,2761.776382767351
16.0,2785.520347387983,2779.6407615192556,2761.7537803186597
17.0,2785.463908982404,2779.591524159846,2761.7303362199928
18.0,2785.405014941171,2779.539806948785,2761.7059831388447
19.0,2785.3443421612733,2779.4860834111423,2761.6810440039153
20.0,2785.281776236669,2779.430408798761,2761.656851273638
21.0,2785.238432921458,2779.3942494213597,2761.6516521772746
22.0,2785.304074827302,2779.4656178852924,2761.7184342225837
23.0,2785.5863653111583,2779.7364355382047,2761.8940647934764
24.0,2786.174147064137,2780.235049009731,2762.195509071457
25.0,2786.6802777601047,2780.650447256881,2762.4320161001315
26.0,2786.899280814529,2780.8156752581012,2762.4782570941225
27.0,2786.963787423931,2780.8644105500734,2762.456730570028
28.0,2786.9542318492818,2780.857571615985,2762.4394891312772
29.0,2786.9130204610074,2780.8226574263767,2762.4201592404083
30.0,2786.8620259649933,2780.777338097664,2762.3937333005897
31.0,2786.8135953608553,2780.7332795583316,2762.3653579557613
32.0,2786.7738344186723,2780.6969830330713,2762.3389397870856
33.0,2786.736803222558,2780.6640264979533,2762.31589826755
34.0,2786.696668141038,2780.629251596169,2762.293645942485
35.0,2786.6538216206795,2780.5927315939443,2762.274516961051
36.0,2786.6125703202883,2780.5586343801756,2762.257020364495
37.0,2786.576327312402,2780.5304543056873,2762.242503423726
38.0,2786.5394525661723,2780.5028834855593,2762.2322346602778
39.0,2786.5025828797075,2780.475109060816,2762.2223249944477
40.0,2786.464293040195,2780.4460906184686,2762.212424005287
41.0,2786.4229125336624,2780.413735220708,2762.198327671021
42.0,2786.381724813629,2780.3800241422164,2762.183697493741
43.0,2786.3356405070163,2780.340343956656,2762.164541860654
44.0,2786.282402095255,2780.292458412348,2762.1391034466155
45.0,2786.2273478304287,2780.24181429951,2762.1076023634796
46.0,2786.176138747219,2780.1954064079105,2762.0702638961247
47.0,2786.127911465575,2780.152812880268,2762.034673783304
48.0,2786.080926495731,2780.112676100073,2762.0043160438213
49.0,2786.0336578663896,2780.0735101521063,2761.978066428173
50.0,2785.9850143483395,2780.0343644664313,2761.9546146167586
51.0,2785.932208590665,2779.99264989388,2761.9325533397787
52.0,2785.877399469769,2779.948822751516,2761.910769502789
53.0,2785.8203148660646,2779.9020649382674,2761.8880995137433
54.0,2785.761870778733,2779.853011470491,2761.8637871865117
55.0,2785.700683473692,2779.800924746013,2761.837923126726
56.0,2785.6395670018155,2779.748016001115,2761.811187832054
57.0,2785.5840310411136,2779.700536213595,2761.791745732129
58.0,2785.596745368214,2779.7203128527885,2761.822672697798
59.0,2785.7606189800863,2779.8842190818023,2761.95427867973
60.0,2786.162020747653,2780.2374328447004,2762.206803877868
61.0,2786.694221823699,2780.683245936804,2762.468991324401
62.0,2786.97384583813,2780.9072810022467,2762.5662481841205
63.0,2787.0533619977614,2780.96335320593,2762.5528645955605
64.0,2787.0417698355554,2780.9498725437606,2762.52096095569
65.0,2786.990046142033,2780.902246802537,2762.4902320736664
66.0,2786.9274983923347,2780.8432148214474,2762.454271555342
67.0,2786.8692556763094,2780.7877376166853,2762.41482382714
68.0,2786.8216169815737,2780.742028692561,2762.3775281015946
69.0,2786.782615235736,2780.70501754531,2762.3463055060793
70.0,2786.7450305541915,2780.670519200385,2762.320710363919
71.0,2786.705975809641,2780.635621356516,2762.296847209426
72.0,2786.6660284841482,2780.6012936161983,2762.2780180727073
73.0,2786.63148727083,2780.572861233244,2762.2618997790923
74.0,2786.600190104205,2780.54880902719,2762.250741029546
75.0,2786.568106175417,2780.5248232818444,2762.241809260361
76.0,2786.5352321076994,2780.5001797426567,2762.23355618828
77.0,2786.501457231181,2780.4742718947314,2762.222888353705
78.0,2786.467510804888,2780.4475317307824,2762.210534756123
79.0,2786.42867874603,2780.4161296519164,2762.196257372485
80.0,2786.379940564027,2780.3745123525073,2762.175959918704
81.0,2786.3246408659074,2780.325361803089,2762.1503772249675
82.0,2786.265814130689,2780.272097305647,2762.120390259305
83.0,2786.2101962031493,2780.2221386122983,2762.084378673537
84.0,2786.1580582416855,2780.1767076526758,2762.0475390222905
85.0,2786.1080971033166,2780.134348103406,2762.0156220778867
86.0,2786.058475109006,2780.0934809824776,2761.9884026076306
87.0,2786.0079298721316,2780.052828287106,2761.964112839853
88.0,2785.9538661902066,2780.010401545077,2761.9414517322525
89.0,2785.8966914454522,2779.965095453103,2761.91908755865
90.0,2785.8368370241906,2779.9167033445797,2761.8959381095447
91.0,2785.7759922592295,2779.8659835955254,2761.87116545997
92.0,2785.712424749671,2779.8122719964867,2761.8448466258455
93.0,2785.6501007662737,2779.7587010817583,2761.8192615761704
94.0,2785.6164599746726,2779.733150997987,2761.8172024706973
95.0,2785.6981735811946,2779.8197109354205,2761.8952581828753
96.0,2785.9648404614595,2780.0691381519596,2762.0927296328896
97.0,2786.4764868267825,2780.5042932807955,2762.36669454247
98.0,2786.8885823231403,2780.845591113465,2762.552526791257
99.0,2787.0445696644874,2780.962988378157,2762.5758612818186
100.0,2787.0659803743238,2780.974455406561,2762.545358511041
101.0,2787.0268305121817,2780.937635574213,2762.5130862293636
102.0,2786.9644693749005,2780.879082309842,2762.479422618696
103.0,2786.9020141735946,2780.819306208614,2762.4392466148292
104.0,2786.8479828781246,2780.7673633902627,2762.3990530357773
105.0,2786.805159070308,2780.7262266065204,2762.3640683022863
106.0,2786.76734292206,2780.690790756287,2762.335360246251
107.0,2786.729097538456,2780.6561040253414,2762.3100346910314
108.0,2786.68905706196,2780.620961552721,2762.2892074422775
109.0,2786.6513249630584,2780.5890338934882,2762.271324464323
110.0,2786.619248307849,2780.563529875774,2762.2573119071158
111.0,2786.587708390741,2780.539693437463,2762.2475847752103
112.0,2786.5553327821835,2780.5155256383623,2762.238879747358
113.0,2786.5221047748873,2780.490400442382,2762.230373412849
114.0,2786.488204665937,2780.463965636601,2762.2181121404246
115.0,2786.453393775459,2780.4362960426147,2762.20551989894
116.0,2786.409499208398,2780.3999205294112,2762.1884478785614
117.0,2786.357055293264,2780.3541434924455,2762.1652828864508
118.0,2786.2993670576952,2780.302305584587,2762.1376596483633
119.0,2786.2407855141655,2780.2493456456646,2762.1050829504215
120.0,2786.186872922265,2780.201606448348,2762.067477306731
121.0,2786.135712837641,2780.157602266163,2762.0325797434784
122.0,2786.0859763930434,2780.116013285844,2762.002944119966
123.0,2786.0358194932883,2780.075193828512,2761.977212772421
124.0,2785.9840462707252,2780.03404506269,2761.9537537355513
125.0,2785.9278402699856,2779.9899537970914,2761.931342461927
126.0,2785.8693131273694,2779.9432677651025,2761.908719355402
127.0,2785.808865029519,2779.893567792905,2761.884779025847
128.0,2785.746527621659,2779.8412990185434,2761.859252463721
129.0,2785.6827089447515,2779.786844382786,2761.832262150442
130.0,2785.6258044542556,2779.73859252161,2761.812660996518
131.0,2785.6362114363183,2779.756892536844,2761.8433609035333
132.0,2785.803203185161,2779.924957572937,2761.981858266952
133.0,2786.203171731426,2780.276423089871,2762.2355868571594
134.0,2786.717202911013,2780.704908674079,2762.486752822527
135.0,2786.986358827991,2780.9196362483062,2762.574296932876
136.0,2787.0622998992767,2780.972589400385,2762.5589583486835
137.0,2787.048688540106,2780.9570952186505,2762.526225685424
138.0,2786.9957457510127,2780.9080271680396,2762.4947521788445
139.0,2786.9324418665037,2780.8478891689338,2762.458243679754
140.0,2786.8741329865707,2780.7920597786897,2762.418161676194
141.0,2786.82663391192,2780.746344222918,2762.380401392446
142.0,2786.7876285654474,2780.709302742926,2762.348898075032
143.0,2786.750034634565,2780.674776279474,2762.3231483648315
144.0,2786.7110562514426,2780.639942134968,2762.2992301256163
145.0,2786.6710498200714,2780.605593349117,2762.2803412950734
146.0,2786.636406144096,2780.577085058089,2762.2642099084674
147.0,2786.6048554986182,2780.552816750662,2762.2530218626484
148.0,2786.5726569186963,2780.528691595058,2762.243952093042
149.0,2786.539629717371,2780.5039288086914,2762.2355760196488
150.0,2786.505727810937,2780.4778879538426,2762.224900873441
151.0,2786.4717532824975,2780.45111126677,2762.2125148049463
152.0,2786.433020711227,2780.4198202214347,2762.198171206555
153.0,2786.3841139793644,2780.378151163954,2762.1778428188413
154.0,2786.32862766763,2780.3289157502213,2762.15225030201
155.0,2786.269514218411,2780.275421060958,2762.1223896383453
156.0,2786.213300731558,2780.22489072596,2762.0865752117647
157.0,2786.160780052718,2780.179082436854,2762.04946165487
158.0,2786.11054126844,2780.1364469825144,2762.0171822612688
159.0,2786.060770199439,2780.095412286895,2761.9897015158876
160.0,2786.010125092634,2780.0546448485907,2761.9652447544277
161.0,2785.9561268916773,2780.01224501604,2761.9424827018834
162.0,2785.898873066386,2779.9669103988126,2761.9200676185937
163.0,2785.8389413893883,2779.918511229415,2761.8969113719236
164.0,2785.7780458303523,2779.86777647709,2761.872146176687
165.0,2785.714440793591,2779.8140674941155,2761.845833129596
166.0,2785.651943003692,2779.7603630075882,2761.820139880401
167.0,2785.616735071812,2779.733359122271,2761.817529970982
168.0,2785.7020193866615,2779.8229957270796,2761.8964507348423
169.0,2785.977229282773,2780.080779029523,2762.0984541981907
170.0,2786.48018483818,2780.509879673684,2762.3721228419954
171.0,2786.8823758789804,2780.840817012886,2762.552640181533
172.0,2787.0386327846195,2780.9568818603047,2762.5737192603524
173.0,2787.0620198633255,2780.9695745881663,2762.5421876986065
174.0,2787.0248850728353,2780.93468746346,2762.5098797903333
175.0,2786.9641316557936,2780.877873464879,2762.4770140794417
176.0,2786.902786467226,2780.819367947632,2762.437862278111
177.0,2786.849343711337,2780.768179482081,2762.398569816564
178.0,2786.806749708253,2780.727441134706,2762.3642207897146
179.0,2786.7689216710087,2780.692132711626,2762.3358887225895
180.0,2786.730557486167,2780.657418391076,2762.310734750946
181.0,2786.6902848623117,2780.6221416845187,2762.2899421435527
182.0,2786.6522640678763,2780.5900050721884,2762.272012985487
183.0,2786.6198661984167,2780.5642456592914,2762.2579300155653
184.0,2786.5879748460643,2780.540119941176,2762.2480846017033
185.0,2786.5552913711185,2780.5156887867556,2762.239234471867
186.0,2786.5218096669437,2780.49033430553,2762.2306028448284
187.0,2786.4876704382136,2780.463689180878,2762.2182437069887
188.0,2786.4526356172496,2780.4358257126237,2762.2055375268965
189.0,2786.4085997179654,2780.3993111131413,2762.188392971675
190.0,2786.356077457945,2780.353440750628,2762.165157519758
191.0,2786.298341491508,2780.301527824401,2762.1374536931744
192.0,2786.2398216840897,2780.2485891695064,2762.104768196007
193.0,2786.185996783827,2780.2009095342114,2762.06710801231
194.0,2786.1349310330106,2780.1569684519473,2762.032226562102
195.0,2786.085266446325,2780.115433653954,2762.0026211538834
196.0,2786.0351682180963,2780.0746569070707,2761.9769146187236
197.0,2785.9834335529385,2780.033540976837,2761.9534785943097
198.0,2785.9272730310154,2779.989473917519,2761.931081444631
199.0,2785.868796743676,2779.94281755841,2761.908468284474
200.0,2785.808425971071,2779.89316278878,2761.8845340760886
201.0,2785.7461588579413,2779.840940647745,2761.859019209511
202.0,2785.68241100868,2779.786536237952,2761.8320471315615
203.0,2785.625790686026,2779.738500185417,2761.812528807271
204.0,2785.6385085837424,2779.758224660512,2761.8434730957706
205.0,2785.809484459627,2779.927847437312,2761.981284751474
206.0,2786.205521030675,2780.2777884223883,2762.232850208705
207.0,2786.715239174472,2780.7047320828915,2762.486720106462
208.0,2786.98435691863,2780.9184904396425,2762.575436583738
209.0,2787.0610315123904,2780.9711812655114,2762.5592459039253
210.0,2787.0481657136547,2780.9561710818684,2762.5256057057077
211.0,2786.9957845428935,2780.907696243315,2762.493991946817
212.0,2786.932797245878,2780.8480139364187,2762.457800060424
213.0,2786.8745405192785,2780.792387791504,2762.418087455865
214.0,2786.826922814448,2780.746683477304,2762.3805694295525
215.0,2786.78769733664,2780.7095126692698,2762.349160970517
216.0,2786.749860186516,2780.674795810475,2762.3233830580693
217.0,2786.7106371038753,2780.6397490170903,2762.2993734616293
218.0,2786.670431123577,2780.605208584774,2762.280364570771
219.0,2786.63564535716,2780.5765553252036,2762.2641240909934
220.0,2786.6039965780797,2780.552179831072,2762.252840157314
221.0,2786.571709075881,2780.52796646112,2762.2436967873787
222.0,2786.5386328091417,2780.503140231917,2762.235265920629
223.0,2786.504699072946,2780.477061156278,2762.224539249584
224.0,2786.4706951772405,2780.450248927474,2762.212114584512
225.0,2786.431923917576,2780.418908269818,2762.1977513100232
226.0,2786.383063384646,2780.377247309469,2762.1774118921144
227.0,2786.3276366573077,2780.328035470677,2762.151808062173
228.0,2786.268615357899,2780.2746089350567,2762.1219078418194
229.0,2786.2125650350335,2780.224231337805,2762.0860428544634
230.0,2786.1601514990457,2780.1785256766784,2762.0489967500084
231.0,2786.1099933238115,2780.1359667593465,2762.0168107043896
232.0,2786.0602693560786,2780.0949807080824,2761.989395977508
233.0,2786.009658481863,2780.0542477259496,2761.9649809391244
234.0,2785.955658185086,2780.011850933282,2761.942246406699
235.0,2785.8984408875795,2779.966538111791,2761.9198485820784
236.0,2785.8385424662783,2779.918155206736,2761.8966999442887
237.0,2785.777677898237,2779.8674424565506,2761.871942647291
238.0,2785.714092881529,2779.813743348097,2761.845635128933
239.0,2785.651622578121,2779.7600587199936,2761.8199507928225
240.0,2785.6164184218965,2779.7330569347687,2761.817342047165
241.0,2785.7017110081915,2779.8226998195573,2761.8962527649783
242.0,2785.9770026819574,2780.080562640139,2762.0982571978016
243.0,2786.479773759935,2780.5095209211718,2762.372060468315
244.0,2786.8822528717824,2780.8406167146754,2762.552484833946
245.0,2787.038526198357,2780.956725754522,2762.573426865341
246.0,2787.0619295079077,2780.9694655646904,2762.542005750721
247.0,2787.024815711568,2780.9346129336777,2762.5097910490354
248.0,2786.964075253521,2780.8778167661867,2762.4769630109863
249.0,2786.9027375157057,2780.819320264137,2762.437821683411
250.0,2786.8493000301787,2780.7681370274427,2762.39853299927
251.0,2786.806709336988,2780.727402873223,2762.36418874631
252.0,2786.768885955899,2780.692099040386,2762.3358625708015
253.0,2786.7305243616047,2780.6573879914777,2762.3107122610913
254.0,2786.6902526839003,2780.622113617866,2762.2899233910066
255.0,2786.652232276971,2780.5899788694896,2762.271997933678
256.0,2786.619832017449,2780.5642173162255,2762.257915551517
257.0,2786.5879402131313,2780.5400902864444,2762.248068473441
258.0,2786.555257331696,2780.515659283607,2762.2392171256993
259.0,2786.5217773445283,2780.490306287138,2762.2305863829715
260.0,2786.4876376318703,2780.463660749885,2762.2182271558877
261.0,2786.452605651477,2780.435798739295,2762.2055217307948
262.0,2786.4085731861837,2780.399287384981,2762.1883773691357
263.0,2786.356049154297,2780.3534167966154,2762.1651434688206
264.0,2786.298316861447,2780.3015071148006,2762.137444241575
265.0,2786.2398025141074,2780.2485743122006,2762.104759838977
266.0,2786.1859794556044,2780.2008968212936,2762.0671022585675
267.0,2786.134912295065,2780.15695487546,2762.032224777695
268.0,2786.0852478648753,2780.115421618583,2762.0026229325767
269.0,2786.0351488533106,2780.074644515635,2761.9769151399523
270.0,2785.983412521021,2780.033529095684,2761.953481972524
271.0,2785.9272550936953,2779.989463758973,2761.931086260128
272.0,2785.8687840839543,2779.942811817686,2761.908476824176
273.0,2785.808420878795,2779.893162717357,2761.8845457460156
274.0,2785.746159539246,2779.8409430934385,2761.8590309201677
275.0,2785.682404076167,2779.7865304215748,2761.8320419499787
276.0,2785.6247540483723,2779.7374348291055,2761.8118070792334
277.0,2785.630716195943,2779.74999094864,2761.838271213143
278.0,2785.7887822362245,2779.907854326958,2761.96846101486
279.0,2786.184618325302,2780.258908265395,2762.2204914363388
280.0,2786.707331411405,2780.6992845049026,2762.4820083327386
281.0,2786.984047413975,2780.9201940595685,2762.57776157812
282.0,2787.062483141463,2780.973779933454,2762.5629439164186
283.0,2787.0499384075442,2780.9584665510574,2762.528403232919
284.0,2786.997486564845,2780.9095948630056,2762.4959378479875
285.0,2786.9344045138073,2780.84959356206,2762.459298370105
286.0,2786.8762349493118,2780.793891197186,2762.419304772664
287.0,2786.8287911476004,2780.748251243177,2762.3816072913855
288.0,2786.7896920292633,2780.711151989132,2762.3500915210784
289.0,2786.7519723018113,2780.6765134681814,2762.324266136962
290.0,2786.712902420239,2780.6415867842784,2762.3002621495425
291.0,2786.6727767418747,2780.6071284455948,2762.2812704452253
292.0,2786.638021609506,2780.5785129084124,2762.2650638010127
293.0,2786.6063332464614,2780.554111285383,2762.253812881207
294.0,2786.5740472761813,2780.529885159061,2762.244652471188
295.0,2786.540953768,2780.5050556477095,2762.2361986846227
296.0,2786.5069995225253,2780.4789569053246,2762.2255007955523
297.0,2786.473020729357,2780.452167066773,2762.213097274772
298.0,2786.434385945434,2780.420955179179,2762.198738520169
299.0,2786.3855095529234,2780.379335269712,2762.178425182601
300.0,2786.33003025312,2780.3301271543114,2762.152850147042
301.0,2786.2708861309693,2780.276610858511,2762.12304597405
302.0,2786.214509433986,2780.225923701663,2762.087323495736
303.0,2786.161892082427,2780.180015074141,2762.0501410967304
304.0,2786.111585255925,2780.1373090800093,2762.0177571638214
305.0,2786.061791943575,2780.096239751341,2761.9901975755806
306.0,2786.0111383904823,2780.0554523043415,2761.965691674234
307.0,2785.9572044984066,2780.013092619291,2761.942906153216
308.0,2785.8999478867163,2779.967774182786,2761.9204880566976
309.0,2785.84002474347,2779.919410841325,2761.8973467907317
310.0,2785.779137571609,2779.86869918299,2761.8726023366407
311.0,2785.71553477557,2779.8150093827403,2761.8463049263646
312.0,2785.652873320472,2779.7611639444435,2761.820493065924
313.0,2785.6147597396543,2779.7308507883695,2761.8157164499407
314.0,2785.6915212937256,2779.812623297984,2761.889913313349
315.0,2785.953847041459,2780.05881514095,2762.0854947783664
316.0,2786.4687294488417,2780.498301702479,2762.3624270568152
317.0,2786.8870961268376,2780.8451490495013,2762.551815500279
318.0,2787.0462798525155,2780.965154639573,2762.578037251468
319.0,2787.068501707824,2780.9773140661573,2762.547702216
320.0,2787.0290748101174,2780.940192777646,2762.515145875179
321.0,2786.966221007908,2780.8810758528234,2762.4812730336134
322.0,2786.903343305485,2780.820748736333,2762.440839923502
323.0,2786.84913830298,2780.7685159486055,2762.400247292788
324.0,2786.806206079112,2780.727201992082,2762.36492569138
325.0,2786.768299343035,2780.6916372000956,2762.3359699937437
326.0,2786.729980524843,2780.656860770915,2762.310497018971
327.0,2786.689846591369,2780.621637668977,2762.289576772271
328.0,2786.65198748674,2780.5896095159965,2762.271627282031
329.0,2786.6197608973644,2780.563984343068,2762.257563001567
330.0,2786.588060544655,2780.5400170382554,2762.247777441935
331.0,2786.5555465696475,2780.515736331497,2762.23901403483
332.0,2786.5221977260762,2780.4905116965315,2762.2304700819377
333.0,2786.48818943895,2780.4639925542174,2762.2181871520775
334.0,2786.4533341496995,2780.4362877067488,2762.2055594749213
335.0,2786.4094905198644,2780.39996074192,2762.188527699128
336.0,2786.357084852065,2780.354220358944,2762.1653933081398
337.0,2786.2994280045878,2780.3024037119753,2762.137780962877
338.0,2786.2408685130213,2780.2494457641033,2762.1052174221704
339.0,2786.1869784195674,2780.201707592743,2762.067604459761
340.0,2786.1358470333857,2780.157713176644,2762.032685364127
341.0,2786.0861482088794,2780.1161464744414,2762.0030375509
342.0,2786.0360329709774,2780.075353396305,2761.977301659012
343.0,2785.9843132245755,2780.0342398200046,2761.953845169471
344.0,2785.928156429423,2779.990188751766,2761.9314401862866
345.0,2785.8696832749497,2779.9435506943773,2761.908832556173
346.0,2785.809266012,2779.8938878220574,2761.8849143325106
347.0,2785.7469737153833,2779.8416617475878,2761.8594111895873
348.0,2785.683162600834,2779.7872203090496,2761.8324269976474
349.0,2785.6255842009323,2779.738202018212,2761.8122930843033
350.0,2785.6324872578375,2779.751630340811,2761.8392851941676
351.0,2785.7910665485265,2779.9106772892396,2761.9716222723628
352.0,2786.1855636033556,2780.258459078291,2762.2212568586574
353.0,2786.713616847284,2780.7025805061185,2762.4810471679652
354.0,2786.991095063054,2780.9253337947553,2762.577785007976
355.0,2787.0681252334475,2780.9793354523886,2762.5644228253955
356.0,2787.053353307679,2780.9626676876646,2762.5310109374454
357.0,2786.998796190194,2780.9119204499675,2762.4987026929134
358.0,2786.9339094761417,2780.8500853900887,2762.4613654420364
359.0,2786.8745859103583,2780.793108860549,2762.4203067714266
